market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Failure_Rate_%
Software,4620,254.0,10425549.830617284,1.6521645021645022,5.5
Biotechnology,3688,139.0,20838667.523146834,2.0748373101952278,3.77
Mobile,1983,144.0,28929888.297076024,1.800302571860817,7.26
E-Commerce,1805,89.0,15337704.765913758,1.638781163434903,4.93
Curated Web,1655,253.0,7176644.994760479,1.5172205438066466,15.29
Enterprise Software,1280,49.0,16972021.190853123,1.9828125,3.83
Health Care,1207,51.0,26450701.599640932,2.300745650372825,4.23
Clean Technology,1200,83.0,35257674.653233364,1.825,6.92
Games,1182,120.0,9776523.806687566,1.5541455160744502,10.15
Hardware + Software,1081,62.0,12890274.13581489,1.7511563367252545,5.74
Advertising,1064,84.0,13806613.526717557,1.8928571428571428,7.89
Health and Wellness,920,20.0,14995740.805896806,1.5880434782608697,2.17
Social Media,876,96.0,4942852.182186235,1.58675799086758,10.96
Finance,867,37.0,24537141.54378531,1.7197231833910034,4.27
Education,863,20.0,9194975.479606189,1.5689455388180764,2.32
Manufacturing,744,14.0,15647388.0,1.4986559139784945,1.88
Analytics,617,16.0,14762931.948243992,1.9983792544570502,2.59
Security,526,27.0,15144599.449579831,1.8726235741444868,5.13
Semiconductors,507,38.0,26147777.735169493,2.2268244575936884,7.5
Consulting,483,28.0,9201584.325949367,1.194616977225673,5.8
Hospitality,464,15.0,15443550.96103896,1.3405172413793103,3.23
Web Hosting,446,30.0,27143436.85063291,1.7600896860986548,6.73
Fashion,395,13.0,13090014.17562724,1.450632911392405,3.29
Real Estate,394,7.0,16599998.902834008,1.2893401015228427,1.78
News,378,22.0,9384855.61151079,1.439153439153439,5.82
Travel,354,21.0,14290736.732394366,1.5508474576271187,5.93
Messaging,297,34.0,10485038.478431372,1.6363636363636365,11.45
Music,296,36.0,11869232.648535565,1.597972972972973,12.16
Search,289,28.0,12320742.521367522,1.7093425605536332,9.69
SaaS,265,7.0,9333152.481308412,1.8528301886792453,2.64
Medical,260,2.0,12525226.656934306,1.4115384615384616,0.77
Sports,254,19.0,7811053.672131147,1.4606299212598426,7.48
Technology,254,2.0,44905703.19111111,2.2086614173228347,0.79
Apps,252,6.0,2737453.537313433,1.4166666666666667,2.38
Internet,245,8.0,46155781.25123153,1.6,3.27
Photography,241,11.0,14508297.076923076,1.6016597510373445,4.56
Entertainment,225,6.0,14747709.794117646,1.4133333333333333,2.67
Video,214,18.0,13305400.672413792,1.8738317757009346,8.41
Marketplaces,204,12.0,5111429.672413793,1.5147058823529411,5.88
Networking,189,23.0,14575999.030075189,1.5132275132275133,12.17
Automotive,180,8.0,26456711.52173913,1.6444444444444444,4.44
Social Network Media,176,24.0,3815549.4161073826,1.6420454545454546,13.64
Public Relations,173,35.0,9395139.441860465,1.300578034682081,20.23
Transportation,162,2.0,44727991.174418606,1.6296296296296295,1.23
Design,155,4.0,14205329.188976377,1.4580645161290322,2.58
Big Data,151,0.0,11084904.715328468,2.006622516556291,0.0
Startups,145,7.0,2802285.601626016,1.5103448275862068,4.83
Cloud Computing,139,6.0,11549833.306451613,2.028776978417266,4.32
Nonprofits,138,4.0,4864654.572580645,1.5072463768115942,2.9
Sales and Marketing,123,9.0,5327192.933333334,1.6991869918699187,7.32
Media,117,3.0,4699450.947916667,1.641025641025641,2.56
Medical Devices,114,4.0,23342776.62745098,1.9824561403508771,3.51
Financial Services,114,2.0,16276079.71875,1.4736842105263157,1.75
Public Transportation,110,5.0,21421915.1875,1.7363636363636363,4.55
Consumer Electronics,109,1.0,23228969.47826087,1.5137614678899083,0.92
Retail,108,3.0,10862350.471264368,1.5,2.78
Web Development,103,13.0,8053395.296703297,1.4757281553398058,12.62
Digital Media,103,0.0,7697466.123595506,1.6990291262135921,0.0
Enterprises,98,3.0,9107457.835443038,1.9591836734693877,3.06
Nanotechnology,96,6.0,16721047.012048192,2.2604166666666665,6.25
Information Technology,92,1.0,12475932.773333333,1.7065217391304348,1.09
Android,91,10.0,3768548.053333333,1.8021978021978022,10.99
Legal,89,5.0,8090521.564102564,1.6853932584269662,5.62
Pharmaceuticals,81,0.0,20437349.726027396,1.5061728395061729,0.0
Services,80,1.0,22178650.559322033,1.5625,1.25
Payments,79,3.0,24562754.411764707,2.1392405063291138,3.8
Wireless,76,1.0,53470195.64516129,2.3026315789473686,1.32
Events,75,5.0,6873274.0,1.5733333333333333,6.67
Business Services,74,3.0,22440674.627118643,1.6486486486486487,4.05
Facebook Applications,73,12.0,3008143.3333333335,1.5616438356164384,16.44
Recruiting,73,3.0,6384342.164179104,1.6849315068493151,4.11
Internet Marketing,72,8.0,4614154.741935484,1.7083333333333333,11.11
Collaboration,72,2.0,10088846.67857143,2.388888888888889,2.78
Internet of Things,72,0.0,9134472.467741935,2.013888888888889,0.0
Content,71,3.0,9685667.746268656,1.9295774647887325,4.23
iPhone,69,10.0,3686388.5789473685,1.536231884057971,14.49
Mobile Commerce,69,3.0,8917444.690909091,1.710144927536232,4.35
Publishing,69,3.0,17562732.927272726,1.9710144927536233,4.35
Telecommunications,68,1.0,49006358.98076923,1.4852941176470589,1.47
Restaurants,68,0.0,6586749.464285715,1.911764705882353,0.0
Shopping,66,8.0,14723530.763636364,1.8333333333333333,12.12
Crowdsourcing,66,2.0,6833646.423728813,1.7575757575757576,3.03
Hardware,66,2.0,24382741.967213117,2.0454545454545454,3.03
Brand Marketing,66,1.0,9202231.844827587,2.0757575757575757,1.52
Online Shopping,65,3.0,65749091.12962963,1.8461538461538463,4.62
Mobile Payments,64,1.0,10084842.05263158,1.859375,1.56
Finance Technology,64,0.0,22812238.76,1.78125,0.0
Video Streaming,63,4.0,19640841.054545455,1.9682539682539681,6.35
Local Businesses,63,1.0,41135054.88679245,1.4444444444444444,1.59
Location Based Services,62,10.0,6129357.418181818,1.6935483870967742,16.13
Reviews and Recommendations,59,7.0,7124311.208333333,1.9322033898305084,11.86
Mobile Games,59,4.0,9305266.115384616,1.7457627118644068,6.78
Social Commerce,57,4.0,4724154.695652174,1.6491228070175439,7.02
Storage,56,2.0,27931440.666666668,1.9464285714285714,3.57
Human Resources,55,0.0,11193008.204081632,1.9272727272727272,0.0
Bitcoin,54,0.0,4512755.875,1.5555555555555556,0.0
Health Care Information Technology,54,0.0,5413283.5625,2.0,0.0
Photo Sharing,53,2.0,2482815.659090909,1.6037735849056605,3.77
Marketing Automation,52,0.0,16494389.07142857,2.4615384615384617,0.0
Consumers,51,0.0,12673684.91111111,1.588235294117647,0.0
Social Media Marketing,50,2.0,5252606.644444444,1.94,4.0
Customer Service,49,1.0,16229836.07317073,1.8979591836734695,2.04
Big Data Analytics,49,0.0,12500457.56097561,2.0816326530612246,0.0
Real Time,49,0.0,8567169.131578946,1.6938775510204083,0.0
Television,48,6.0,15630120.0,2.0208333333333335,12.5
Local,48,5.0,6284046.139534884,1.8125,10.42
iOS,48,2.0,5271603.380952381,1.7916666666666667,4.17
Consumer Goods,48,1.0,3562486.8378378376,1.4583333333333333,2.08
Small and Medium Businesses,47,1.0,3234593.9743589745,1.8085106382978724,2.13
Fitness,46,1.0,3565320.875,1.5217391304347827,2.17
B2B,46,0.0,3907076.880952381,1.6956521739130435,0.0
Pets,45,4.0,5783345.787878788,1.3555555555555556,8.89
Email,45,3.0,7901341.675675675,1.711111111111111,6.67
Web Tools,44,7.0,13722992.236842105,1.9772727272727273,15.91
Databases,44,3.0,33284920.0,2.2045454545454546,6.82
Communities,44,0.0,68879638.64864865,1.8863636363636365,0.0
Cloud Data Services,43,3.0,50772887.55263158,2.2093023255813953,6.98
Electronics,43,3.0,12216921.2,1.8372093023255813,6.98
CRM,41,3.0,7830661.694444444,1.7804878048780488,7.32
File Sharing,41,3.0,28880681.78787879,2.0,7.32
Venture Capital,41,3.0,9329889.310344828,1.3658536585365855,7.32
Business Intelligence,41,2.0,9596140.388888888,2.073170731707317,4.88
Banking,41,1.0,21181631.14285714,1.2195121951219512,2.44
Home Automation,41,0.0,21112547.837837838,1.7804878048780488,0.0
Productivity Software,41,0.0,3397176.6756756757,1.5121951219512195,0.0
Social Games,38,4.0,2232086.806451613,1.5526315789473684,10.53
Hotels,38,2.0,32066235.379310343,2.263157894736842,5.26
Energy,38,0.0,24564074.0,1.6578947368421053,0.0
Blogging Platforms,37,2.0,4274807.257142857,1.864864864864865,5.41
Kids,37,2.0,2051679.8620689656,1.3513513513513513,5.41
Coupons,36,7.0,2081409.3125,1.4444444444444444,19.44
Twitter Applications,36,3.0,5757377.548387097,1.9166666666666667,8.33
Peer-to-Peer,35,4.0,37073525.93548387,2.3714285714285714,11.43
Lifestyle,35,2.0,22045141.39285714,1.9142857142857144,5.71
Market Research,34,1.0,10017581.3,2.0,2.94
Ticketing,33,2.0,3624323.6923076925,1.5151515151515151,6.06
Logistics,33,0.0,12187335.384615384,1.4242424242424243,0.0
Mobile Advertising,33,0.0,7913788.0,2.121212121212121,0.0
Tracking,32,2.0,7122346.9655172415,2.21875,6.25
Open Source,32,1.0,13347011.034482758,2.21875,3.12
Predictive Analytics,32,1.0,15772630.448275862,2.34375,3.12
Crowdfunding,31,2.0,2140039.846153846,1.6129032258064515,6.45
VoIP,30,5.0,9440856.84,1.8,16.67
SEO,30,3.0,3513340.7586206896,1.5333333333333334,10.0
Chat,30,2.0,9700241.111111112,1.9666666666666666,6.67
Solar,29,2.0,128929490.72,2.9655172413793105,6.9
Beauty,29,1.0,9106301.24,1.896551724137931,3.45
Online Dating,29,1.0,2509829.772727273,1.4137931034482758,3.45
iPad,29,1.0,2343759.727272727,1.4827586206896552,3.45
Advertising Platforms,29,0.0,7698530.518518519,1.7241379310344827,0.0
Consumer Internet,29,0.0,3785469.730769231,1.5862068965517242,0.0
Developer APIs,29,0.0,6759949.16,2.103448275862069,0.0
Game,28,1.0,8224690.95,1.2857142857142858,3.57
Video Games,28,1.0,7219562.9130434785,1.3571428571428572,3.57
Art,28,0.0,1254920.25,1.3928571428571428,0.0
Food Processing,28,0.0,54252011.0,1.0,0.0
Machine Learning,28,0.0,2941219.7083333335,1.75,0.0
Maps,27,3.0,9670781.863636363,1.962962962962963,11.11
Online Reservations,27,2.0,14010154.631578946,1.6666666666666667,7.41
Loyalty Programs,27,1.0,9304196.52,2.7777777777777777,3.7
Personal Finance,27,1.0,22542104.904761903,2.1481481481481484,3.7
Agriculture,27,0.0,12359621.423076924,1.8888888888888888,0.0
